,feature_sex_male,feature_sex_female,feature_Carter1,feature_Carter2,feature_Carter3,feature_Carter4,feature_Carter5,feature_Carter6,feature_Carter7,feature_Carter8,feature_Carter9,feature_Carter10,feature_Carter11,feature_Carter12,feature_TsCa2
0,1,0,1,0.970588235,1,1,1,0.951048951,0.925675676,1,0.959731544,0.921212121,1,1,1
1,0,1,1,0.970588235,1,1,1,0.951048951,0.872611465,1,1,1,1,0.936,0.970588235
2,0,1,0.746987952,0.975757576,1,0.894409938,1,1,0.942675159,0.98,1,0.86627907,1,0.946969697,1
3,0,1,0.746987952,1,1,0.883435583,1,0.970588235,0.872611465,0.987012987,0.959731544,0.953488372,0.926380368,0.946969697,1
4,1,0,0.746987952,0.952662722,1,1,1,0.951048951,1,0.974358974,1,1,0.947674419,1,0.914141414
5,1,0,0.746987952,1,1,1,1,0.951048951,0.942675159,1,0.906040268,1,0.926380368,1,0.98989899
6,1,0,0.831325301,1,1,0.905660377,1,0.923076923,0.987421384,0.98,0.973154362,1,0.947674419,1,1
7,0,1,0.957831325,0.930635838,1,0.894409938,1,0.923076923,1,0.986842105,0.973154362,1,0.926380368,0.946969697,1
8,1,0,0.898550725,1,1,0.894409938,1,0.951048951,0.872611465,0.986842105,0.906040268,1,0.877906977,1,0.914141414
9,0,1,0.831325301,0.930635838,1,1,1,1,0.86163522,0.967105263,1,1,0.947674419,1,0.97029703
10,1,0,0.832214765,1,1,0.900552486,1,1,0.987421384,0.974358974,0.944055944,1,0.926380368,1,0.903061224
11,1,0,0.957831325,1,1,0.836956522,1,1,0.925675676,0.944099379,1,0.872093023,0.926380368,1,0.956521739
12,1,0,1,0.976878613,1,0.883435583,0.982758621,0.951048951,0.872611465,0.954545455,1,1,1,1,0.97029703
13,0,1,0.945783133,0.976331361,1,1,1,0.951048951,0.942675159,0.974358974,0.912751678,0.903030303,0.965116279,0.946969697,0.977900552
14,0,1,0.832214765,1,1,0.900552486,1,1,0.962264151,0.974358974,0.906040268,1,1,1,0.977900552
15,1,0,1,0.930635838,1,0.883435583,1,0.951048951,1,0.986842105,0.959731544,1,1,1,0.98019802
16,1,0,1,0.930635838,1,0.786885246,0.982758621,0.947019868,0.942675159,1,1,1,1,1,1
17,0,1,1,0.970588235,1,0.782608696,1,1,0.895424837,0.987012987,0.959731544,1,1,0.946969697,0.99
18,0,1,0.957831325,1,1,0.935064935,1,0.951048951,0.942675159,0.986842105,1,1,0.926380368,0.946969697,0.97029703
